species	NCBI.taxid	No_AAS_total	No_CDS_total	No_AAS_Busco	No_CDS_Busco	No_AAS_CDS_corresponding	nb_gene_to_study
Tyto_alba	56313	32967	32983	921	921	857	681
Upupa_epops	57439	13744	15122	848	848	846	676
Uria_aalge	13746	14166	15596	857	857	857	677
Urocolius_indicus	458196	14081	15344	840	840	838	667
Urocynchramus_pylzowi	571890	13710	15394	817	817	815	652
Ursus_arctos	9644	51919	52138	953	953	951	724
Vidua_chalybeata	81927	37887	37915	957	957	947	726
Vidua_macroura	187451	35662	35701	943	943	925	715
Vireo_altiloquus	34956	14114	16110	834	834	831	663
Xiphorhynchus_elegans	269412	13534	15124	783	783	783	615
Zapornia_atra	2585822	13339	14708	790	790	788	641
Zosterops_borbonicus	364589	22558	22558	937	937	923	702
Zosterops_hypoxanthus	2485327	13718	15801	828	828	827	656
