species	delta_TriQuaSexv1	rho_aa_fpkmv1	nb_genesv1	pval_aa_fpkmv1	nb_aav1	nb_scuv1
Vicugna_pacos	0.00704	0.649122944048842	11758	0.00145322858743275	9	11
Pan_troglodytes	0.00968	0.655824281139854	10212	0.00124690463589103	9	17
Struthio_camelus	0.02219	0.755075097582958	9467	0.000076031039159187	9	19
Vespula_vulgaris	0.01263	0.579807636203961	7973	0.0058695753923307	9	23
Vespula_pensylvanica	0.02699	0.695472742903243	7221	0.000464846403405563	9	17
Arvicola_amphibius	0.0251	0.708524446588592	10399	0.000324667795851103	9	15
Clarias_magur	0.0142	0.4	1839	0.0723900257722548	9	13
Chelonus_insularis	0.02944	0.744544879578739	8436	0.000108403892068598	9	18
Exaiptasia_diaphana	0.00223	0.591870701131724	2889	0.00470633900804332	9	11
Branchiostoma_floridae	0.03945	0.861982089516707	8467	0.000000511213086874319	9	16
Cloeon_dipterum	0.06271	0.852585535464615	9271	0.000000919726879205174	9	19
Gymnodraco_acuticeps	0.02762	0.633972102290022	12498	0.0020280097738861	9	14
Pseudochaenichthys_georgianus	0.02459	0.737662337662338	10793	0.000135474149812154	9	12
Molothrus_ater	0.02857	0.767233495025811	11041	0.0000493698855750666	9	17
Zerene_cesonia	0.0365	0.855936090867416	4916	0.000000749480677729075	9	17
Osmia_lignaria	0.05108	0.73252386208776	8043	0.000159312144391761	9	21
Bombus_vosnesenskii	0.02372	0.774161991250454	7468	0.0000381573515680911	9	22
Bombus_bifarius	0.02234	0.806394695107349	8246	0.0000101203352478128	9	24
