species	brain_size_max	body_mass_max
Zaglossus_bruijni	NA	13.63
Zalophus_californianus	0.405	NA
Zamenis_longissima	0.000168	NA
Zapus_hudsonicus	0.0006961	0.0193
Zapus_hudsonius	NA	0.03
Zelotes_rusticus	NA	0.0000525
Zonosaurus_maximus	0.000565	NA
Zonosaurus_quadrilineatus	0.000209	NA
Zonotrichia_albicollis	NA	0.0236
Zoothera_heinei	0.0018648	0.085
Zoothera_lunulata	0.00223776	0.1132
Zophobas_sp.	NA	0.000535
Zophosis_congesta	NA	0.000011
Zosis_geniculata	NA	0.0000637
Zosterops_atricapilla	NA	0.00849
Zosterops_lateralis	0.00048692	0.0118
Zosterops_virens	NA	0.01087
Zygiella_x-notata	0.00000135716	0.000039
Zygoballus_rufipes	NA	0.000003
