species	brain_size_max	body_mass_max
Charadrius_australis	0.0011914	0.084
Charadrius_bicinctus	0.00114996	0.07
Charadrius_leschenaultii	0.00130536	0.0875
Charadrius_mongolus	0.00117068	0.0635
Charadrius_ruficapillus	0.00084952	0.0405
Charterginus_fulvus	0.0000001961148	NA
Cheirogaleus_major	0.0068	0.45
Cheirogaleus_medius	0.00334	0.17967
Chelonia_mydas	0.0086	114.3
Chelydra_serpentina	0.00098	5.125
Chenonetta_jubata	0.00422688	0.8
Cheramoeca_leucosterna	0.00042476	0.0141
Chilanthia_cavernosa	NA	0.001026
Chinchilla_lanigera	NA	0.426
Chlidonias_hybrida	0.00153328	0.085
Chloephaga_melanoptera	0.00796684	NA
Chlorocebus_aethiops	0.0663	5.23
Chloropsis_sonnerati	NA	0.0397
Chlorostilbon_mellisugus	NA	0.0029
Choloepus_didactylus	0.0282	5.07
Choloepus_hoffmanni	0.026	5.271
Chroicocephalus_novaehollandiae	0.00323232	0.3125
Chrysochloris_asiatica	0.0007	0.049
Chrysochloris_stuhlmanni	0.00074	0.0398
Chrysococcyx_basalis	0.00064232	0.0245
Chrysococcyx_lucidus	0.00071484	0.025
Chrysococcyx_minutillus	0.00060088	0.017
Chrysococcyx_osculans	0.00075628	0.032
Chrysuronia_oenone	NA	0.005
Chthonicola_sagittata	0.0006216	0.0135
Cicindela_repanda	NA	0.000085
Ciconia_abdimii	0.0073	0.95
Ciconia_ciconia	0.01624	3.35
Cilliba_cassidea	NA	0.0000001025
Cinclosoma_cinnamomeum	0.00152292	0.0568
Cinclosoma_punctatum	0.00218596	0.1116
Cinnyris_bifasciatus	NA	0.0062
Cinnyris_cupreus	NA	0.0074
Cinnyris_jugularis	0.0004144	0.009
Cinnyris_venustus	NA	0.0071
Circellium_bacchus	NA	0.006836
Circus_approximans	0.00567728	0.74
Cissa_chinensis	0.003	0.125
Cissilopha_beecheii	0.0043	0.195
Cissilopha_melanocyanea	0.0033	0.11
Cissilopha_sanblasiana	0.003	0.11
Cissomela_pectoralis	0.00044548	0.0095
Cisticola_exilis	0.00040404	0.0075
Cisticola_subruficapilla	NA	0.01015
Citellus_undulatus	NA	0.68
Cladorhynchus_leucocephalus	0.00166796	0.24
Clemmys_guttata	0.00136	2.163
Clethrionomys_californicus	NA	0.0183
Clethrionomys_gapperi	NA	0.0228
Climacteris_erythrops	0.00091168	0.023
Climacteris_melanura	0.00089096	0.032
Climacteris_picumnus	0.001036	0.0318
