Acipenser_ruthenus	EOL		acipenser ruthenus
Acipenser_ruthenus	EOL		Acipenser ruthenus × <i>Huso dauricus</i>
Acipenser_ruthenus	EOL		Acipenser ruthenus × <i>Huso huso</i>
Acipenser_ruthenus	EOL	can grow to 125 cm.	Sterlet (Acipenser ruthenus Linnaeus 1758)
Acipenser_ruthenus	EOL		(Huso huso x Acipenser ruthenus) x Huso huso
Acipenser_ruthenus	EOL		<i>Acipenser</i> ruthenus × Acipenser <i>baerii</i>
Acipenser_ruthenus	EOL		<i>Acipenser <i>ruthenus</i></i> f. ruthenus
Acipenser_ruthenus	EOL	rds     * body length 	    show_all_records       125 cm	Sterlet (Acipenser ruthenus Linnaeus 1758)
Acipenser_ruthenus	fishbase 		Acipenser_ruthenus
Acipenser_ruthenus	fishbase 	Max length : 125 cm	Acipenser_ruthenus
Acomys_russatus	ADW		Acomys_russatus
Acomys_russatus	ADW	lengths are 7-15cm.	Acomys_russatus
Acomys_russatus	EOL		
Acomys_russatus	EOL		Acomys russatus subsp. russatus russatus (Wagner 1840)
Acomys_russatus	EOL	can grow to 111.08 mm	Golden Spiny Mouse (Acomys russatus (Wagner 1840))
Acomys_russatus	EOL		Golden Spiny Mouse (Acomys russatus (Wagner 1840))
Acomys_russatus	EOL		Golden Spiny Mouse (<i>Acomys russatus</i> (Wagner 1840))
Acomys_russatus	EOL		<i>Acomys <i>russatus</i></i> russatus
Acomys_russatus	EOL		<i>Acomys russatus harrisoni</i>
Acomys_russatus	EOL		<i>Acomys russatus lewisi</i> Atallah 1967
Acomys_russatus	fishbase 		Acomys_russatus
Acromyrmex_charruanus	ADW		Acromyrmex_charruanus
Acromyrmex_charruanus	EOL		
Acromyrmex_charruanus	EOL		Acromyrmex charruanus
Acromyrmex_charruanus	EOL		<i>Acromyrmex charruanus</i>
Acromyrmex_charruanus	fishbase 		Acromyrmex_charruanus
Acromyrmex_echinatior	ADW		Acromyrmex_echinatior
Acromyrmex_echinatior	EOL		
Acromyrmex_echinatior	EOL		Acromyrmex echinatior
Acromyrmex_echinatior	EOL		<i>Acromyrmex echinatior</i>
Acromyrmex_echinatior	fishbase 		Acromyrmex_echinatior
Acromyrmex_heyeri	ADW		Acromyrmex_heyeri
Acromyrmex_heyeri	EOL		
Acromyrmex_heyeri	EOL		Acromyrmex heyeri (Forel 1899)
Acromyrmex_heyeri	fishbase 		Acromyrmex_heyeri
Acromyrmex_insinuator	ADW		Acromyrmex_insinuator
Acromyrmex_insinuator	EOL		<i>Acromyrmex insinuator</i>
Acromyrmex_insinuator	fishbase 		Acromyrmex_insinuator
Acropora_digitifera	ADW		Acropora_digitifera
