#The list of species
#species: Scientific name of the species.
#NCBI.taxid: taxID from the NCBI.
#assembly_accession: Assembly accession used.
#clade: Clade corresponding to the species, it can be the class for vertebrates or the order for insects.
#nb_rnaseq: Number of RNA-seq studied.
species	NCBI.taxid	assembly_accession	clade	nb_rnaseq
Daphnia_pulex	6669	GCF_021134715.1	Crustacea	0
Daphnia_pulicaria	35523	GCF_021234035.1	Crustacea	0
Daphnia_sinensis	1820382	GCA_013167095.2	Crustacea	0
Daphoenositta_chrysoptera	254528	GCA_013397915.1	Aves	0
Darwinula_stevensoni	69355	GCA_905338385.1	Crustacea	0
Dasyornis_broadbenti	243059	GCA_013397935.1	Aves	0
Dasypus_novemcinctus	9361	GCF_000208655.3	Mammalia	0
Daucus_carota	4039	GCF_001625215.1	Embryophyta	50
Delphinapterus_leucas	9749	GCF_002288925.2	Mammalia	0
Dendrobium_catenatum	906689	GCF_001605985.2	Embryophyta	50
Dendroctonus_ponderosae	77166	GCF_000355655.1	Coleoptera	30
Dendrolimus_kikuchii	765133	GCA_019925095.2	Lepidoptera	0
Dendronephthya_gigantea	151771	GCF_004324835.1	Cnidaria	0
Denticeps_clupeoides	299321	GCF_900700375.1	Teleostei	0
Dermacentor_andersoni	34620	GCF_023375885.1	Arachnida	0
Dermacentor_silvarum	543639	GCF_013339745.2	Arachnida	0
Dermatophagoides_farinae	6954	GCF_020809275.1	Arachnida	0
Dermatophagoides_pteronyssinus	6956	GCF_001901225.1	Arachnida	0
Dermochelys_coriacea	27794	GCF_009764565.2	Testudines	13
Desmodus_rotundus	9430	GCF_002940915.2	Mammalia	0
Desmophyllum_pertusum	174260	GCA_029204205.1	Cnidaria	0
Diabrotica_balteata	107213	GCA_918026665.1	Coleoptera	0
Diabrotica_virgifera	50389	GCF_003013835.1	Coleoptera	50
Diachasma_alloeum	454923	GCF_001412515.2	Hymenoptera	0
Diaphorina_citri	121845	GCF_000475195.1	Hemiptera	50
Diatraea_saccharalis	40085	GCA_918026875.4	Lepidoptera	0
Dibothriocephalus_latus	60516	GCA_900617775.1	Platyhelminthes	0
Dicaeum_eximium	667154	GCA_013396995.1	Aves	0
Dicentrarchus_labrax	13489	GCF_905237075.1	Teleostei	0
Dichanthelium_oligosanthes	888268	GCA_001633215.2	Embryophyta	19
Dicrocoelium_dendriticum	57078	GCA_944474145.2	Platyhelminthes	0
Dicrurus_megarhynchus	450177	GCA_013399195.1	Aves	0
Dictyocaulus_viviparus	29172	GCA_000816705.1	Nematoda	31
Didymodactylos_carnosus	1234261	GCA_905250885.1	Invertebrates	0
Digitaria_exilis	1010633	GCA_015342445.1	Embryophyta	5
Dimorphilus_gyrociliatus	2664684	GCA_904063045.1	Annelida	8
Dinoponera_quadriceps	609295	GCF_001313825.1	Hymenoptera	14
Dinothrombium_tinctorium	1965070	GCA_003675995.1	Arachnida	0
Diploscapter_pachys	2018661	GCA_002287525.1	Nematoda	2
Dipodomys_ordii	10020	GCF_000151885.1	Mammalia	0
Dipodomys_spectabilis	105255	GCF_019054845.1	Mammalia	0
Diprion_similis	362088	GCF_021155765.1	Hymenoptera	0
Dirofilaria_immitis	6287	GCA_024305405.1	Nematoda	43
Dissostichus_eleginoides	100907	GCA_025770515.1	Teleostei	0
Dissostichus_mawsoni	36200	GCA_011823955.1	Teleostei	17
Ditylenchus_destructor	166010	GCA_022814885.1	Nematoda	0
Diuraphis_noxia	143948	GCF_001186385.1	Hemiptera	0
Donacobius_atricapilla	237420	GCA_013397315.1	Aves	0
Dracunculus_medinensis	318479	GCA_900625125.1	Nematoda	0
Dreissena_polymorpha	45954	GCF_020536995.1	Mollusca	0
Dromaius_novaehollandiae	8790	GCF_003342905.1	Aves	0
Dromas_ardeola	458190	GCA_013398915.1	Aves	0
Dromiciops_gliroides	33562	GCF_019393635.1	Mammalia	0
Drosophila_albomicans	7291	GCF_009650485.2	Diptera	28
Drosophila_ananassae	7217	GCF_017639315.1	Diptera	0
Drosophila_arizonae	7263	GCF_001654025.1	Diptera	50
Drosophila_biarmipes	125945	GCF_025231255.1	Diptera	14
Drosophila_bipectinata	42026	GCF_018153845.1	Diptera	5
Drosophila_bunnanda	244254	GCA_021223745.1	Diptera	0
Drosophila_busckii	30019	GCF_011750605.1	Diptera	3
Drosophila_elegans	30023	GCF_018152505.1	Diptera	19
Drosophila_erecta	7220	GCF_003286155.1	Diptera	46
Drosophila_eugracilis	29029	GCF_018153835.1	Diptera	7
Drosophila_ficusphila	30025	GCF_018152265.1	Diptera	7
Drosophila_grimshawi	7222	GCF_000005155.2	Diptera	30
Drosophila_guanche	7266	GCF_900245975.1	Diptera	12
Drosophila_gunungcola	103775	GCF_025200985.1	Diptera	5
Drosophila_hydei	7224	GCF_003285905.1	Diptera	30
Drosophila_innubila	198719	GCF_004354385.1	Diptera	50
Drosophila_ironensis	2848634	GCA_021223825.1	Diptera	0
Drosophila_kikkawai	30033	GCF_018152535.1	Diptera	5
Drosophila_mauritiana	7226	GCF_004382145.1	Diptera	50
Drosophila_melanogaster	7227	GCF_000001215.4	Diptera	129
Drosophila_miranda	7229	GCF_003369915.1	Diptera	0
Drosophila_mojavensis	7230	GCF_018153725.1	Diptera	0
Drosophila_navojoa	7232	GCF_001654015.2	Diptera	4
Drosophila_novamexicana	47314	GCF_003285875.2	Diptera	50
Drosophila_obscura	7282	GCF_018151105.1	Diptera	34
Drosophila_pandora	1867034	GCA_021223865.1	Diptera	0
Drosophila_persimilis	7234	GCF_003286085.1	Diptera	50
Drosophila_pseudoobscura	7237	GCF_000001765.3	Diptera	32
Drosophila_pseudotakahashii	193234	GCA_021223935.1	Diptera	0
Drosophila_rhopaloa	1041015	GCF_018152115.1	Diptera	0
Drosophila_rubida	30044	GCA_021223945.1	Diptera	0
Drosophila_santomea	129105	GCF_016746245.2	Diptera	18
Drosophila_sechellia	7238	GCF_004382195.2	Diptera	50
Drosophila_serrata	7274	GCF_002093755.1	Diptera	11
Drosophila_setifemur	2848635	GCA_021224005.1	Diptera	0
Drosophila_simulans	7240	GCF_016746395.2	Diptera	12
Drosophila_subobscura	7241	GCF_008121235.1	Diptera	0
Drosophila_subpulchrella	1486046	GCF_014743375.2	Diptera	10
Drosophila_suzukii	28584	GCF_000472105.1	Diptera	23
Drosophila_takahashii	29030	GCF_018152695.1	Diptera	5
Drosophila_teissieri	7243	GCF_016746235.2	Diptera	0
Drosophila_virilis	7244	GCF_003285735.1	Diptera	50
Drosophila_willistoni	7260	GCF_018902025.1	Diptera	0
Drosophila_yakuba	7245	GCF_016746365.2	Diptera	0
Drymodes_brunneopygia	626378	GCA_013400955.1	Aves	0
Dryobates_pubescens	118200	GCF_000699005.1	Aves	0
Dryococelus_australis	614101	GCA_029891345.1	Invertebrates	0
Dryoscopus_gambensis	85069	GCA_013389985.1	Aves	0
Dufourea_novaeangliae	178035	GCF_001272555.1	Hymenoptera	1
Dunckerocampus_dactyliophorus	161453	GCF_027744805.1	Teleostei	0
Durio_zibethinus	66656	GCF_002303985.1	Embryophyta	18
Echeneis_naucrates	173247	GCF_900963305.1	Teleostei	0
Echinococcus_granulosus	6210	GCF_000524195.1	Platyhelminthes	50
Echinococcus_multilocularis	6211	GCA_000469725.3	Platyhelminthes	0
Echinops_telfairi	9371	GCF_000313985.2	Mammalia	0
Echinostoma_caproni	27848	GCA_900618425.1	Platyhelminthes	0
Eciton_burchellii	213866	GCA_020341155.1	Hymenoptera	0
Edolisoma_coerulescens	2585810	GCA_013397115.1	Aves	0
Egretta_garzetta	188379	GCF_000687185.1	Aves	0
Elachura_formosa	1463973	GCA_013398795.1	Aves	0
Electrophorus_electricus	8005	GCF_013358815.1	Teleostei	12
Elephantulus_edwardii	28737	GCF_000299155.1	Mammalia	0
Elephas_maximus	9783	GCF_024166365.1	Mammalia	0
Eleutherodactylus_coqui	57060	GCA_019857665.1	Amphibia	0
Elysia_chlorotica	188477	GCA_003991915.1	Mollusca	13
Elysia_marginata	1093978	GCA_019649035.1	Mollusca	0
Emberiza_fucata	337179	GCA_013398835.1	Aves	0
Empidonax_traillii	164674	GCF_003031625.1	Aves	0
Engystomops_pustulosus	76066	GCA_019512145.1	Amphibia	0
Enhydra_lutris	34882	GCF_002288905.1	Mammalia	4
Enterobius_vermicularis	51028	GCA_900576705.1	Nematoda	0
Enteromyxum_leei	188704	GCA_001455295.2	Cnidaria	0
Eolophus_roseicapilla	176039	GCA_013397615.1	Aves	0
Ephemera_danica	1049336	GCA_000507165.2	Ephemeroptera	50
Epinephelus_fuscoguttatus	293821	GCF_011397635.1	Teleostei	0
Epinephelus_lanceolatus	310571	GCF_005281545.1	Teleostei	0
Epinephelus_moara	300413	GCF_006386435.1	Teleostei	0
Episyrphus_balteatus	286459	GCF_945859705.1	Diptera	0
Eptesicus_fuscus	29078	GCF_027574615.1	Mammalia	0
Equus_asinus	9793	GCF_001305755.1	Mammalia	34
Equus_caballus	9796	GCF_002863925.1	Mammalia	19
Equus_przewalskii	9798	GCF_000696695.1	Mammalia	0
Equus_quagga	89248	GCF_021613505.1	Mammalia	0
Erinaceus_europaeus	9365	GCF_000296755.1	Mammalia	2
Eriocheir_sinensis	95602	GCF_024679095.1	Crustacea	0
Erpetoichthys_calabaricus	27687	GCF_900747795.2	Vertebrates	0
Erpornis_zantholeuca	1112836	GCA_013400515.1	Aves	0
Erythrocercus_mccallii	107208	GCA_013397435.1	Aves	0
Esox_lucius	8010	GCF_011004845.1	Teleostei	0
Etheostoma_cragini	417921	GCF_013103735.1	Teleostei	0
Etheostoma_spectabile	54343	GCF_008692095.1	Teleostei	0
Eublepharis_macularius	481883	GCF_028583425.1	Lepidosauria	0
Eubucco_bourcierii	91767	GCA_013396675.1	Aves	0
Eudyptes_chrysocome	79626	GCA_010085355.1	Aves	0
Eudyptes_chrysolophus	79627	GCA_010084205.1	Aves	0
Eudyptes_filholi	1419345	GCA_010085365.1	Aves	4
Eudyptes_moseleyi	2495534	GCA_010082375.1	Aves	0
Eudyptes_schlegeli	57240	GCA_010080425.1	Aves	0
Eudyptes_sclateri	92688	GCA_010078445.1	Aves	0
Eudyptula_albosignata	345258	GCA_010080465.1	Aves	0
Eudyptula_minor	37083	GCA_010080355.1	Aves	0
Eudyptula_novaehollandiae	2052820	GCA_010078495.1	Aves	0
Eufriesea_mexicana	516756	GCF_001483705.1	Hymenoptera	1
Eulacestoma_nigropectus	461239	GCA_013397775.1	Aves	0
Eumeta_japonica	151549	GCA_005406025.1	Lepidoptera	8
Eumetopias_jubatus	34886	GCF_004028035.1	Mammalia	0
Eupeodes_corollae	290404	GCF_945859685.1	Diptera	0
Euphydryas_editha	104508	GCA_933666425.1	Lepidoptera	0
Euroglyphus_maynei	6958	GCA_002135145.1	Arachnida	0
Eurypyga_helias	54383	GCF_000690775.1	Aves	0
Eurystomus_gularis	325343	GCA_013400335.1	Aves	0
Eurytemora_affinis	88015	GCF_000591075.1	Crustacea	50
Exaiptasia_diaphana	2652724	GCF_001417965.1	Cnidaria	50
Falco_biarmicus	345155	GCF_023638135.1	Aves	0
Falco_cherrug	345164	GCF_023634085.1	Aves	0
Falco_naumanni	148594	GCF_017639655.2	Aves	0
Falco_peregrinus	8954	GCF_023634155.1	Aves	0
Falco_rusticolus	120794	GCF_015220075.1	Aves	0
Falcunculus_frontatus	254539	GCA_013398115.1	Aves	0
Fasciolopsis_buski	27845	GCA_008360955.1	Platyhelminthes	0
Felis_catus	9685	GCF_000181335.3	Mammalia	3
Ficedula_albicollis	59894	GCF_000247815.1	Aves	0
Folsomia_candida	158441	GCF_002217175.1	Invertebrates	0
Fopius_arisanus	64838	GCF_000806365.1	Hymenoptera	0
Formica_exsecta	72781	GCF_003651465.1	Hymenoptera	0
Formicarius_rufipectus	1118560	GCA_013399695.1	Aves	0
Fragaria_vesca	57918	GCF_000184155.1	Embryophyta	50
Fragariocoptes_setiger	1670756	GCA_019968535.1	Arachnida	0
Frankliniella_occidentalis	133901	GCF_000697945.3	Thysanoptera	0
Fregata_magnificens	37042	GCA_013389945.1	Aves	0
Fregetta_grallaria	79628	GCA_013399335.1	Aves	0
Frieseomelitta_varia	561572	GCF_011392965.1	Hymenoptera	0
Fukomys_damarensis	885580	GCF_012274545.1	Mammalia	0
Fulmarus_glacialis	30455	GCF_000690835.1	Aves	0
Fundulus_heteroclitus	8078	GCF_011125445.2	Teleostei	50
Furnarius_figulus	463165	GCA_013397465.1	Aves	0
Gadus_morhua	8049	GCF_902167405.1	Teleostei	48
Galbula_dea	1109041	GCA_013399015.1	Aves	0
Galemys_pyrenaicus	202257	GCA_019455555.1	Mammalia	0
Galendromus_occidentalis	34638	GCF_000255335.2	Arachnida	0
Galeopterus_variegatus	482537	GCF_000696425.1	Mammalia	0
Galleria_mellonella	7137	GCF_026898425.1	Lepidoptera	0
Gallus_gallus	9031	GCF_000002315.5	Aves	217
Gambusia_affinis	33528	GCF_019740435.1	Teleostei	0
Gasterosteus_aculeatus	69293	GCF_016920845.1	Teleostei	0
Gavia_stellata	37040	GCF_000690875.1	Aves	0
Gavialis_gangeticus	94835	GCF_001723915.1	Crocodylia	0
Gekko_japonicus	146911	GCF_001447785.1	Lepidosauria	7
Geococcyx_californianus	8947	GCA_013389885.1	Aves	0
Geospiza_fortis	48883	GCF_000277835.1	Aves	0
Geotrypetes_seraphini	260995	GCF_902459505.1	Amphibia	0
Gigantopelta_aegis	1735272	GCF_016097555.1	Mollusca	37
Girardinichthys_multiradiatus	208333	GCF_021462225.1	Teleostei	0
Glareola_pratincola	43316	GCA_013401295.1	Aves	0
Glaucidium_brasilianum	78217	GCA_013399595.1	Aves	0
Globicephala_melas	9731	GCF_006547405.1	Mammalia	0
Glossina_fuscipes	7396	GCF_014805625.1	Diptera	9
Glycine_max	3847	GCF_000004515.6	Embryophyta	50
Gongylonema_pulchrum	637853	GCA_900617915.1	Nematoda	0
Gonioctena_quinquepunctata	63699	GCA_018342105.1	Coleoptera	0
Gopherus_evgoodei	1825980	GCF_007399415.2	Testudines	5
Gopherus_flavomarginatus	286002	GCF_025201925.1	Testudines	0
Gorilla_gorilla	9593	GCF_008122165.1	Mammalia	50
Gossypium_australe	47621	GCA_005393395.2	Embryophyta	33
Gossypium_davidsonii	34287	GCA_013677245.1	Embryophyta	41
Gossypium_klotzschianum	34286	GCA_013677235.1	Embryophyta	11
Gossypium_trilobum	34281	GCA_013467465.1	Embryophyta	37
Gouania_willdenowi	441366	GCF_900634775.1	Teleostei	0
Gracilinanus_agilis	191870	GCF_016433145.1	Mammalia	0
Grallaria_varia	117165	GCA_013396735.1	Aves	0
Grammomys_surdaster	491861	GCF_004785775.1	Mammalia	4
Grantiella_picta	266360	GCA_013397955.1	Aves	0
Grus_americana	9117	GCF_028858705.1	Aves	0
Gryllus_bimaculatus	6999	GCA_017312745.1	Invertebrates	0
Gulo_gulo	48420	GCA_024510155.1	Mammalia	0
Gymnodraco_acuticeps	8218	GCF_902827175.1	Teleostei	50
Gymnogyps_californianus	33616	GCF_018139145.2	Aves	13
Gymnorhina_tibicen	9132	GCA_013399875.1	Aves	0
Habropoda_laboriosa	597456	GCF_001263275.1	Hymenoptera	1
Haemaphysalis_longicornis	44386	GCA_013339765.2	Arachnida	0
Haemonchus_placei	6290	GCA_900617895.1	Nematoda	0
Halcyon_senegalensis	342381	GCA_013397595.1	Aves	0
Haliaeetus_albicilla	8969	GCF_000691405.1	Aves	0
Haliaeetus_leucocephalus	52644	GCF_000737465.1	Aves	0
Halichoerus_grypus	9711	GCF_012393455.1	Mammalia	32
Haliotis_rubra	36100	GCF_003918875.1	Mollusca	0
Haliotis_rufescens	6454	GCF_023055435.1	Mollusca	50
Halotydeus_destructor	2874060	GCA_022750525.1	Arachnida	0
Halyomorpha_halys	286706	GCF_000696795.2	Hemiptera	6
Haplochromis_burtoni	8153	GCF_018398535.1	Teleostei	0
Harmonia_axyridis	115357	GCF_914767665.1	Coleoptera	50
Harpegnathos_saltator	610380	GCF_003227715.1	Hymenoptera	166
Harpia_harpyja	202280	GCF_026419915.1	Aves	0
Helicoverpa_armigera	29058	GCF_023701775.1	Lepidoptera	0
Helicoverpa_zea	7113	GCF_022581195.2	Lepidoptera	0
Heliornis_fulica	54369	GCA_013399135.1	Aves	0
Helobdella_robusta	6412	GCF_000326865.2	Annelida	0
Hemibagrus_wyckioides	337641	GCA_019097595.1	Teleostei	0
Hemicordylus_capensis	884348	GCF_027244095.1	Lepidosauria	0
Henneguya_salminicola	69463	GCA_009887335.1	Cnidaria	0
Hermetia_illucens	343691	GCF_905115235.1	Diptera	50
Herpetotheres_cachinnans	56343	GCA_013399355.1	Aves	0
Herrania_umbratica	108875	GCF_002168275.1	Embryophyta	6
Heterocephalus_glaber	10181	GCF_000247695.1	Mammalia	54
Heterotrigona_itama	395501	GCA_903986555.1	Hymenoptera	0
Hibiscus_syriacus	106335	GCF_006381635.1	Embryophyta	4
Hippocampus_comes	109280	GCF_001891065.2	Teleostei	0
Hippocampus_zosterae	109293	GCF_025434085.1	Teleostei	0
Hippoglossus_hippoglossus	8267	GCF_009819705.1	Teleostei	0
Hippoglossus_stenolepis	195615	GCF_022539355.2	Teleostei	0
Hippolais_icterina	68497	GCA_013400075.1	Aves	0
Hipposideros_armiger	186990	GCF_001890085.2	Mammalia	0
Hirundo_rustica	43150	GCF_015227805.1	Aves	6
Holotrichia_oblita	644536	GCA_023690525.1	Coleoptera	0
Homalodisca_vitripennis	197043	GCF_021130785.1	Hemiptera	0
Homarus_americanus	6706	GCF_018991925.1	Crustacea	50
Homo_sapiens	9606	GCF_000001405.38	Mammalia	313
Horornis_vulcanius	2585811	GCA_013401035.1	Aves	0
Hyaena_hyaena	95912	GCF_003009895.1	Mammalia	0
Hyalella_azteca	294128	GCF_000764305.2	Crustacea	0
Hyalomma_asiaticum	266040	GCA_013339685.2	Arachnida	0
Hydatigera_taeniaeformis	6205	GCA_900622495.1	Platyhelminthes	0
Hydra_vulgaris	6087	GCF_022113875.1	Cnidaria	50
Hylia_prasina	208073	GCA_013397195.1	Aves	0
Hylobates_moloch	81572	GCF_009828535.2	Mammalia	0
Hymenochirus_boettgeri	247094	GCA_019447015.1	Amphibia	10
Hypocryptadius_cinnamomeus	589841	GCA_013400635.1	Aves	0
Hypomesus_transpacificus	137520	GCF_021917145.1	Teleostei	0
Hyposmocoma_kahamanoa	1477025	GCF_003589595.1	Lepidoptera	0
Hypsibius_exemplaris	2072580	GCA_002082055.1	Tardigrada	0
Ibidorhyncha_struthersii	425643	GCA_013398815.1	Aves	0
Ictalurus_furcatus	66913	GCF_023375685.1	Teleostei	0
Ictalurus_punctatus	7998	GCF_001660625.2	Teleostei	0
Ictidomys_tridecemlineatus	43179	GCF_016881025.1	Mammalia	0
Ifrita_kowaldi	461245	GCA_013398055.1	Aves	0
Ignelater_luminosus	2038154	GCA_011009095.1	Coleoptera	7
Illadopsis_cleaveri	201329	GCA_013399915.1	Aves	0
Indicator_indicator	1002788	GCF_027791375.1	Aves	0
Indicator_maculatus	545262	GCA_013399975.1	Aves	0
Intoshia_linei	1819745	GCA_001642005.1	Invertebrates	2
Iphiclides_podalirius	110791	GCA_933534255.1	Lepidoptera	0
Ipomoea_nil	35883	GCF_001879475.1	Embryophyta	27
Ipomoea_triloba	35885	GCF_003576645.1	Embryophyta	29
Irena_cyanogastra	175120	GCA_013397155.1	Aves	0
Ischnura_elegans	197161	GCF_921293095.1	Invertebrates	50
Ixodes_persulcatus	34615	GCA_013358835.2	Arachnida	0
Ixodes_scapularis	6945	GCF_002892825.2	Arachnida	46
Jacana_jacana	54508	GCA_013400555.1	Aves	0
Jaculus_jaculus	51337	GCF_020740685.1	Mammalia	0
Juglans_regia	51240	GCF_001411555.2	Embryophyta	50
Kryptolebias_marmoratus	37003	GCF_001649575.2	Teleostei	0
Kudoa_iwatai	269814	GCA_001407235.2	Cnidaria	0
Labeo_rohita	84645	GCF_022985175.1	Teleostei	0
Labrus_bergylta	56723	GCF_900080235.1	Teleostei	0
Lacerta_agilis	80427	GCF_009819535.1	Lepidosauria	4
Lactuca_saligna	75948	GCA_902860255.1	Embryophyta	3
Ladona_fulva	123851	GCA_000376725.2	Invertebrates	0
Lagenorhynchus_obliquidens	90247	GCF_003676395.1	Mammalia	0
Lagopus_leucura	30410	GCF_019238085.1	Aves	0
Lagopus_muta	64668	GCF_023343835.1	Aves	0
Lamellibrachia_satsuma	104711	GCA_022478865.1	Annelida	2
Lampris_incognitus	2546036	GCF_029633865.1	Teleostei	0
Lamprotornis_superbus	245042	GCA_015883425.1	Aves	34
Lanius_ludovicianus	28713	GCA_013397235.1	Aves	0
Larimichthys_crocea	215358	GCF_000972845.2	Teleostei	0
Larus_smithsonianus	243888	GCA_013400295.1	Aves	0
Lasius_niger	67767	GCA_001045655.1	Hymenoptera	0
Lates_calcarifer	8187	GCF_001640805.1	Teleostei	50
Latimeria_chalumnae	7897	GCF_000225785.1	Vertebrates	0
Leguminivora_glycinivorella	1035111	GCF_023078275.1	Lepidoptera	0
Leiothrix_lutea	36275	GCA_013400445.1	Aves	0
Lemur_catta	9447	GCF_020740605.2	Mammalia	0
Leopardus_geoffroyi	46844	GCF_018350155.1	Mammalia	0
Lepeophtheirus_salmonis	72036	GCF_016086655.3	Crustacea	50
Lepidothrix_coronata	321398	GCF_001604755.1	Aves	7
Lepisosteus_oculatus	7918	GCF_000242695.1	Vertebrates	33
Leptidea_sinapis	189913	GCF_905404315.1	Lepidoptera	0
Leptinotarsa_decemlineata	7539	GCF_000500325.1	Coleoptera	21
Leptocoma_aspasia	2585812	GCA_013399835.1	Aves	0
Leptonychotes_weddellii	9713	GCF_000349705.1	Mammalia	7
Leptopilina_boulardi	63433	GCF_019393585.1	Hymenoptera	0
Leptopilina_heterotoma	63436	GCF_015476425.1	Hymenoptera	0
Leptosomus_discolor	188344	GCF_000691785.1	Aves	0
Leptotrombidium_deliense	299467	GCA_003675905.2	Arachnida	0
Leucoraja_erinacea	7782	GCF_028641065.1	Chondrichthyes	0
Limosa_lapponica	161683	GCA_002844005.1	Aves	0
Limulus_polyphemus	6850	GCF_000517525.1	Invertebrates	0
Linepithema_humile	83485	GCF_000217595.1	Hymenoptera	23
Lingula_anatina	7574	GCF_001039355.2	Brachiopoda	17
Liparis_tanakae	230148	GCA_006348945.1	Teleostei	0
Lipotes_vexillifer	118797	GCF_000442215.2	Mammalia	0
Lithobates_catesbeianus	8400	GCA_002284835.2	Amphibia	0
Loa_loa	7209	GCF_000183805.2	Nematoda	1
Locustella_ochotensis	187437	GCA_013400155.1	Aves	0
Lonchura_striata	40157	GCF_005870125.1	Aves	29
Lontra_canadensis	76717	GCF_010015895.1	Mammalia	0
Lophotis_ruficrista	172689	GCA_013396455.1	Aves	0
Lottia_gigantea	225164	GCF_000327385.1	Mollusca	0
Loxia_curvirostra	64802	GCA_013398455.1	Aves	0
Loxia_leucoptera	96539	GCA_013396895.1	Aves	0
Loxodonta_africana	9785	GCF_000001905.1	Mammalia	23
Lucifuga_dentata	670423	GCA_014773175.1	Teleostei	0
Lucilia_cuprina	7375	GCF_000699065.1	Diptera	23
Lucilia_sericata	13632	GCF_015586225.1	Diptera	0
Lupinus_albus	3870	GCA_010261695.1	Embryophyta	50
Lutra_lutra	9657	GCF_902655055.1	Mammalia	0
Lutzomyia_longipalpis	7200	GCF_024334085.1	Diptera	0
Lynx_canadensis	61383	GCF_007474595.2	Mammalia	1
Lynx_pardinus	191816	GCA_900661375.1	Mammalia	12
Lynx_rufus	61384	GCF_022079265.1	Mammalia	0
Lytechinus_pictus	7653	GCF_015342785.2	Echinodermata	0
Lytechinus_variegatus	7654	GCF_018143015.1	Echinodermata	0
Macaca_fascicularis	9541	GCF_012559485.2	Mammalia	0
Macaca_mulatta	9544	GCF_003339765.1	Mammalia	177
Macaca_nemestrina	9545	GCF_000956065.1	Mammalia	0
Macaca_thibetana	54602	GCF_024542745.1	Mammalia	0
Machaerirhynchus_nigripectus	1160894	GCA_013397975.1	Aves	0
Macrosteles_quadrilineatus	74068	GCF_028750875.1	Hemiptera	0
Macrostomum_lignano	282301	GCA_002269645.1	Platyhelminthes	50
Malaclemys_terrapin	8485	GCF_027887155.1	Testudines	0
Malurus_elegans	720584	GCA_013397995.1	Aves	0
Malus_baccata	106549	GCA_006547085.1	Embryophyta	21
Mamestra_configurata	174822	GCA_002192655.3	Lepidoptera	0
Manacus_candei	415023	GCF_025592945.1	Aves	0
Manacus_vitellinus	328815	GCF_001715985.3	Aves	0
Mandrillus_leucophaeus	9568	GCF_000951045.1	Mammalia	0
Manduca_sexta	7130	GCF_014839805.1	Lepidoptera	0
Manihot_esculenta	3983	GCF_001659605.1	Embryophyta	50
Maniola_hyperantus	2795564	GCF_902806685.1	Lepidoptera	0
Maniola_jurtina	191418	GCF_905333055.1	Lepidoptera	27
Manis_javanica	9974	GCF_014570535.1	Mammalia	42
Manis_pentadactyla	143292	GCF_014570555.1	Mammalia	0
Marchantia_polymorpha	3197	GCA_003032435.1	Embryophyta	35
Marmota_flaviventris	93162	GCF_003676075.2	Mammalia	43
Marmota_marmota	9993	GCF_001458135.2	Mammalia	0
Marmota_monax	9995	GCF_021218885.1	Mammalia	0
Mastacembelus_armatus	205130	GCF_900324485.2	Teleostei	0
Mastomys_coucha	35658	GCF_008632895.1	Mammalia	5
Mauremys_mutica	74926	GCF_020497125.1	Testudines	0
Mauremys_reevesii	260615	GCF_016161935.1	Testudines	0
Maylandia_zebra	106582	GCF_000238955.4	Teleostei	0
Medioppia_subpectinata	1979941	GCA_905368565.1	Arachnida	10
Megachile_rotundata	143995	GCF_000220905.1	Hymenoptera	108
Megadyptes_antipodes	37085	GCA_010078485.1	Aves	0
Megalobrama_amblycephala	75352	GCF_018812025.1	Teleostei	0
Megalops_atlanticus	7932	GCA_019176425.1	Teleostei	0
Megalops_cyprinoides	118141	GCF_013368585.1	Teleostei	0
Megalopta_genalis	115081	GCF_011865705.1	Hymenoptera	0
Megalurothrips_usitatus	439358	GCA_026979955.1	Thysanoptera	0
Melanaphis_sacchari	742174	GCF_002803265.2	Hemiptera	6
Melanocharis_versteri	254552	GCA_013397845.1	Aves	0
Melanotaenia_boesemani	1250792	GCF_017639745.1	Teleostei	0
Meleagris_gallopavo	9103	GCF_000146605.3	Aves	0
Meles_meles	9662	GCF_922984935.1	Mammalia	0
Melipona_quadrifasciata	166423	GCA_001276565.1	Hymenoptera	1
Melitaea_cinxia	113334	GCF_905220565.1	Lepidoptera	50
Meloidogyne_enterolobii	390850	GCA_903994135.1	Nematoda	7
Meloidogyne_graminicola	189291	GCA_014773135.1	Nematoda	0
Melopsittacus_undulatus	13146	GCF_012275295.1	Aves	0
Melospiza_melodia	44397	GCA_013398205.1	Aves	10
Melozone_crissalis	40204	GCF_028551555.1	Aves	0
Menidia_menidia	238744	GCA_907169785.1	Teleostei	0
Menura_novaehollandiae	47692	GCA_013396355.1	Aves	0
Mercenaria_mercenaria	6596	GCF_014805675.1	Mollusca	50
Meriones_unguiculatus	10047	GCF_002204375.1	Mammalia	34
Merops_nubicus	57421	GCF_000691845.1	Aves	0
Mesembrinibis_cayennensis	1118748	GCA_013399675.1	Aves	0
Mesitornis_unicolor	54374	GCF_000695765.1	Aves	0
Mesocestoides_corti	53468	GCA_900604375.1	Platyhelminthes	0
Mesocricetus_auratus	10036	GCF_017639785.1	Mammalia	0
Microcaecilia_unicolor	1415580	GCF_901765095.1	Amphibia	0
Microcebus_murinus	30608	GCF_000165445.2	Mammalia	30
Microplitis_demolitor	69319	GCF_026212275.2	Hymenoptera	0
Micropterus_dolomieu	147949	GCF_021292245.1	Teleostei	0
Micropterus_salmoides	27706	GCF_014851395.1	Teleostei	10
Microtus_fortis	100897	GCF_014885135.2	Mammalia	0
