#major: Number of major introns.
#minor: Number of minor introns.
#unclassified: Number of unclassified introns.
#sequencing_depth: Median per-base read coverage across BUSCO genes from eukaryota geneset.
#no_compiled_rna_seq: Number of sub-sampled RNA-seq.
#replicate: Replicates number.
#samples: SRA Accession of the RNA-seq samples studied.
major	minor	unclassified	sequencing_depth	no_compiled_rna_seq	replicate	samples
33059	20109	9756	136.918903483724	4	6	SRR6766825,SRR6055397,SRR6766818,SRR6055391
30842	16960	7683	94.9018961253091	4	7	SRR6766804,SRR6766859,SRR6055367,SRR6055379
31912	18025	10074	62.490230134607	4	8	SRR6055399,SRR6055369,SRR6766803,SRR6055415
26804	16891	11249	27.636303630363	4	9	SRR6055385,SRR6055393,SRR6055375,SRR6055369
32927	23733	6275	177.956037151703	4	10	SRR6766861,SRR6766813,SRR6766809,SRR6766847
37143	31438	6585	442.275476966031	5	1	SRR6055409,SRR6766805,SRR6055413,SRR6766811,SRR7444554
32364	21668	7642	87.2647233789412	5	2	SRR6055405,SRR6055373,SRR6766833,SRR6766860,SRR6766851
34312	25042	6867	89.729207920792	5	3	SRR6766859,SRR6766834,SRR6055377,SRR6055370,SRR6055407
34862	28215	6738	286.20205655527	5	4	SRR6766848,SRR6766849,SRR6055395,SRR7444551,SRR6055366
37028	28781	6132	363.722120658135	5	5	SRR7444553,SRR6766829,SRR6055372,SRR6055419,SRR6766837
33269	19536	8392	101.772727272727	5	6	SRR6766844,SRR6055407,SRR6055410,SRR6055386,SRR6055395
35377	29483	4914	370.929695697797	5	7	SRR6055372,SRR6055379,SRR6766822,SRR6766852,SRR7444555
32105	19155	9685	85.6522411128284	5	8	SRR6766807,SRR6055398,SRR6766835,SRR6766813,SRR6766851
36354	25366	6439	234.681856540084	5	9	SRR6055400,SRR6766839,SRR6766813,SRR6055373,SRR7444555
32598	17770	9482	166.373205741627	5	10	SRR6055412,SRR7444551,SRR6055379,SRR6055410,SRR6766812
34785	29772	6047	125.222388059701	6	1	SRR6055405,SRR6055361,SRR6055373,SRR6766806,SRR6055385,SRR6766855
36192	29891	6315	463.930406852248	6	2	SRR6055361,SRR6766827,SRR7444551,SRR6055418,SRR6055374,SRR6766810
36766	30153	5739	304.948905109489	6	3	SRR6766840,SRR6055422,SRR6055361,SRR6766803,SRR6766856,SRR6055397
37835	30286	5522	279.678803641092	6	4	SRR6055394,SRR6055384,SRR6055402,SRR6766818,SRR7444555,SRR6766860
34062	27574	7042	149.405808793868	6	5	SRR6055411,SRR6766854,SRR6766853,SRR6766826,SRR6055381,SRR6055386
35230	26684	6661	99.7457522397282	6	6	SRR6055395,SRR6766803,SRR6766847,SRR6055398,SRR6055380,SRR6055369
27996	16069	9223	36.0576845502219	6	7	SRR6055376,SRR6766842,SRR6055386,SRR6766812,SRR6766810,SRR6766835
37178	33988	5804	460.667760459393	6	8	SRR6766838,SRR6766805,SRR6055397,SRR6055377,SRR6766859,SRR7444554
36951	31630	5326	195.029771615009	6	9	SRR6055419,SRR6766852,SRR6055405,SRR6055361,SRR6055385,SRR6766831
36244	27298	6293	166.314218009479	6	10	SRR6055392,SRR6766830,SRR6766832,SRR6055384,SRR6055396,SRR6766839
33520	20250	8387	199.175653594771	7	1	SRR6055362,SRR6055388,SRR6766841,SRR6055398,SRR6055405,SRR6055389,SRR7444550
35307	24780	6713	141.296416938111	7	2	SRR6055400,SRR6055406,SRR6055366,SRR6055364,SRR6766807,SRR6766825,SRR6055404
36421	26674	6388	164.858611825193	7	3	SRR6766804,SRR6055403,SRR6055396,SRR6766807,SRR6055360,SRR6055411,SRR6055368
37316	31945	6739	519.422222222222	7	4	SRR6055407,SRR6766822,SRR6766814,SRR7444550,SRR6055393,SRR6055413,SRR6055416
36886	29079	5949	142.811103588355	7	5	SRR6055365,SRR6055415,SRR6766819,SRR6766845,SRR6055406,SRR6766834,SRR6055418
31966	20625	8942	60.8918601234205	7	6	SRR6766826,SRR6055399,SRR6055382,SRR6055408,SRR6055360,SRR6766807,SRR6055405
35302	30294	5176	444.936807817589	7	7	SRR6766804,SRR6766855,SRR6055376,SRR6766827,SRR6055389,SRR6766860,SRR6055368
33391	19642	7833	200.038572806171	7	8	SRR6055396,SRR6766835,SRR6055375,SRR6055366,SRR7444550,SRR6766843,SRR6055363
37013	31498	5989	294.422924901186	7	9	SRR6766824,SRR6766807,SRR6766819,SRR6766845,SRR6766803,SRR6766837,SRR6055409
35624	29059	6390	118.426682339113	7	10	SRR6055374,SRR6055414,SRR6766847,SRR6055413,SRR6055420,SRR6055402,SRR6766860
37432	35769	5123	382.33045622688	8	1	SRR6766852,SRR6055415,SRR7444552,SRR6766853,SRR6055363,SRR6055382,SRR6766819,SRR6055384
37033	27636	5929	270.878878878879	8	2	SRR6055400,SRR6766842,SRR6766821,SRR7444550,SRR6055397,SRR6055379,SRR6055380,SRR6766820
36937	33993	4962	328.927927927928	8	3	SRR6055391,SRR6055370,SRR6766857,SRR6055359,SRR6766804,SRR6766851,SRR7444554,SRR6055361
38500	38919	5097	521.167791706846	8	4	SRR6766852,SRR6766860,SRR6766824,SRR6055406,SRR6766814,SRR6766857,SRR6055399,SRR6055415
38297	39239	4496	400.852644087938	8	5	SRR6766851,SRR6055372,SRR6766805,SRR6055404,SRR6055391,SRR6766854,SRR6055395,SRR6055382
36610	28288	5699	171.73830632834	8	6	SRR6055420,SRR6055419,SRR6766809,SRR6055367,SRR6055395,SRR6055382,SRR6766860,SRR6766843
35921	26750	6181	234.00942408377	8	7	SRR7444553,SRR6055398,SRR6055390,SRR6055370,SRR6766807,SRR6055381,SRR6055367,SRR6055420
35587	34821	5264	243.428174878557	8	8	SRR6766806,SRR6766818,SRR6766832,SRR6766848,SRR6766811,SRR6055365,SRR6055390,SRR6055381
35473	26193	6303	104.912858660999	8	9	SRR6055390,SRR6055359,SRR6055403,SRR6766859,SRR6766813,SRR6766845,SRR6055415,SRR6766816
34856	24642	8081	85.0637408568443	8	10	SRR6055419,SRR6055396,SRR6055391,SRR6055415,SRR6766810,SRR6766821,SRR6055397,SRR6766838
38103	32784	5646	309.066104078763	9	1	SRR6766843,SRR6766842,SRR6766810,SRR6055406,SRR6055365,SRR6055405,SRR6766828,SRR6055415,SRR6766852
38414	38413	4430	387.311624072547	9	2	SRR6055409,SRR6055381,SRR6766805,SRR6055371,SRR6055406,SRR6055413,SRR6055377,SRR6766813,SRR6055419
38084	40846	4655	451.747077577045	9	3	SRR6055398,SRR6766858,SRR6766807,SRR6055377,SRR6055360,SRR6055418,SRR6766805,SRR6766849,SRR6766851
38516	41996	4335	315.56751933373	9	4	SRR6766841,SRR6055421,SRR6055403,SRR6766818,SRR6055400,SRR6055394,SRR6766854,SRR6055373,SRR6766850
36782	37661	4355	667.972151898734	9	5	SRR6055366,SRR6766833,SRR6055378,SRR6766839,SRR6766831,SRR6766852,SRR6766827,SRR6766857,SRR7444552
38656	34836	4752	361.026744186046	9	6	SRR6055395,SRR6766836,SRR6055399,SRR6766849,SRR6055385,SRR6055402,SRR7444555,SRR6055404,SRR6766823
38726	35541	4844	366.301391035549	9	7	SRR6766817,SRR6766853,SRR6766813,SRR6055422,SRR7444554,SRR6055413,SRR6055364,SRR6055366,SRR6766807
37109	32727	5528	272.538219641993	9	8	SRR6766851,SRR6766816,SRR6055389,SRR6766817,SRR6766855,SRR6766804,SRR6055399,SRR6766837,SRR6055372
37863	36627	4840	338.30959752322	9	9	SRR6055417,SRR6766830,SRR6766852,SRR6766804,SRR6766821,SRR6055380,SRR6766813,SRR6055384,SRR6766860
39427	38444	4481	466.525418748164	9	10	SRR7444554,SRR6055421,SRR6055413,SRR6055420,SRR6055373,SRR6055400,SRR6766828,SRR6766842,SRR6766852
37394	36286	4809	465.098800685323	10	1	SRR7444552,SRR6055386,SRR6055378,SRR6055373,SRR6766814,SRR6055360,SRR6055405,SRR6766819,SRR6766807,SRR6055361
37447	31891	5233	274.760741885626	10	2	SRR6055386,SRR6766815,SRR6055396,SRR6766810,SRR6766811,SRR7444552,SRR6055374,SRR6766847,SRR6055414,SRR6766851
39435	40769	4308	428.538208168643	10	3	SRR6766854,SRR6055411,SRR6055416,SRR6766806,SRR6766853,SRR6766808,SRR6055384,SRR7444551,SRR6055392,SRR6055407
38553	35511	4745	349.207072316024	10	4	SRR6766855,SRR6055410,SRR6055422,SRR6055382,SRR6766845,SRR7444552,SRR6766858,SRR6766819,SRR6055416,SRR6055391
36387	35545	4753	497.979775280898	10	5	SRR6766840,SRR6766846,SRR6055365,SRR6766823,SRR6766812,SRR6766844,SRR6766813,SRR6766837,SRR6766857,SRR6766847
37362	31221	5589	463.730514096185	10	6	SRR6766824,SRR6766859,SRR6055361,SRR7444551,SRR6055420,SRR6055406,SRR6055379,SRR6766841,SRR7444550,SRR6055388
37815	34578	5035	485.317898486198	10	7	SRR6055377,SRR6055370,SRR6055362,SRR6055409,SRR6766811,SRR6766814,SRR6055401,SRR6766825,SRR6055415,SRR7444555
37346	37831	5312	281.765217391304	10	8	SRR6055374,SRR6766852,SRR6766838,SRR6766811,SRR6055422,SRR6766860,SRR6766843,SRR6055402,SRR6766848,SRR6766823
38518	37944	4687	557.283856988082	10	9	SRR6766830,SRR6766824,SRR6766827,SRR6055376,SRR6055385,SRR6766826,SRR6766859,SRR6766834,SRR6055390,SRR6055403
38664	36966	4979	456.015021955165	10	10	SRR6766830,SRR6766831,SRR6055384,SRR6766846,SRR6055403,SRR6055399,SRR6766842,SRR6766858,SRR6766814,SRR6766813
