species	sequencing_depth	intron	annotated	annotated_unclassified	annotated_major	annotated_minor	prop_annot_unclassified	prop_annot_minor	prop_annot_major
Microcebus_murinus_NCBI.taxid30608	1043.34688847813	445454	216144	9829	159826	46489	0.737746753734144	0.171776851564463	0.989665314715626
Meriones_unguiculatus_NCBI.taxid10047	1907.98179169701	352820	184759	15569	149279	19911	0.817227442129022	0.109191714788674	0.985860520406815
Mercenaria_mercenaria_NCBI.taxid6596	2502.55159186467	394968	239454	29758	183839	25857	0.599947581701982	0.165560030477849	0.971726536566801
Melospiza_melodia_NCBI.taxid44397	422.821505376344	142574	93604	12804	78137	2663	0.781828173658179	0.0713061639800782	0.879416101113099
Meloidogyne_enterolobii_NCBI.taxid390850	126.401312931329	143485	124186	55198	63918	5070	0.918848734040251	0.294973237142192	0.965178787146654
Melitaea_cinxia_NCBI.taxid113334	573.139918700511	97506	67020	11638	52657	2725	0.848621846288464	0.0949742088387007	0.955662431941924
Melipona_quadrifasciata_NCBI.taxid166423	59.2799503414029	57729	37779	9199	26618	1962	0.740421764327109	0.140132847653739	0.850306670074112
Melanaphis_sacchari_NCBI.taxid742174	1342.20010812224	147982	83265	4038	70724	8503	0.814934409687185	0.118477337011802	0.992506104577732
Megachile_rotundata_NCBI.taxid143995	3370.54064697609	348665	81914	2230	54794	24890	0.629765602937023	0.0860912034090595	0.978254659715775
Medioppia_subpectinata_NCBI.taxid1979941	811.058477061608	39613	30860	4030	25570	1260	0.807615230460922	0.242914979757085	0.868664220682158
Mastomys_coucha_NCBI.taxid35658	994.976529261031	425257	223651	8161	169501	45989	0.760081959579026	0.18873708791096	0.992086764645631
Marmota_flaviventris_NCBI.taxid93162	617.880635154833	271038	148933	25206	105404	18323	0.868124677113828	0.135001915652353	0.991766953019882
Marchantia_polymorpha_NCBI.taxid3197	657.078516233874	139542	74163	3564	64640	5959	0.740648379052369	0.0860754008377871	0.986870229007634
Manis_javanica_NCBI.taxid9974	4582.71022891915	653214	222048	4937	165029	52082	0.585091253851624	0.109382646042697	0.978639751884292
Maniola_jurtina_NCBI.taxid191418	502.935190793458	127022	91181	14656	66918	9607	0.898204326775755	0.222410001157541	0.991230928751296
Manihot_esculenta_NCBI.taxid3983	2287.20719743049	282879	143597	2800	111728	29069	0.89058524173028	0.173577357138592	0.995216674831871
Malus_baccata_NCBI.taxid106549	897.404422788606	233855	125494	9586	112304	3604	0.670021667715105	0.0392122728756392	0.879863363575111
Macrostomum_lignano_NCBI.taxid282301	333.439293598234	115539	92331	28648	61612	2071	0.834221484522873	0.116682630007324	0.971047613043547
Macaca_mulatta_NCBI.taxid9544	5363.12381699217	922374	243495	3624	180981	58890	0.345669591758871	0.0808597579562212	0.985778247418188
Lynx_pardinus_NCBI.taxid191816	89.9082522277898	325165	149910	8423	134162	7325	0.535507661008329	0.0448736798255287	0.91766073871409
Lynx_canadensis_NCBI.taxid61383	0.978221672454263	39711	39104	38443	590	71	0.985187463160862	0.731958762886598	0.994940978077572
Lupinus_albus_NCBI.taxid3870	4590.01361107209	450950	141660	3844	131126	6690	0.721336085569525	0.0220827790632809	0.919086002663489
Lucilia_cuprina_NCBI.taxid7375	2498.71077763806	83539	46117	2740	37601	5776	0.827794561933535	0.138181818181818	0.97845377189102
Loxodonta_africana_NCBI.taxid9785	3942.1957277695	594684	171257	6332	129179	35746	0.751126927639383	0.0785300172016459	0.985610193415481
Lonchura_striata_NCBI.taxid40157	1814.38826561848	224139	159686	4102	129963	25621	0.909332742185768	0.290576480328445	0.988650108402115
Loa_loa_NCBI.taxid7209	38.2545210984595	63403	55904	24372	30478	1054	0.913801507255071	0.181473829201102	0.985577544948907
Lingula_anatina_NCBI.taxid7574	327.76701754386	285653	212232	29307	162546	20379	0.904397469526308	0.230994185189803	0.984978033631268
Linepithema_humile_NCBI.taxid83485	1550.13904721725	183554	82780	3468	64242	15070	0.706169822846671	0.132948690803868	0.983933467093474
Leptonychotes_weddellii_NCBI.taxid9713	911.774209860934	373920	180730	10539	141828	28363	0.700777977259126	0.13222104124711	0.98239926854103
Leptinotarsa_decemlineata_NCBI.taxid7539	2073.11170212766	110240	59484	4710	48101	6673	0.721949724095647	0.122325896867152	0.978358588426726
