id	species	dS	dN	dNdS	clade	clade_group	dS_added
Gekko_japonicus_0	Gekko_japonicus	0.922153839673396	0.106858416676794	0.115879164711433	Lepidosauria	Other Vertebrates	-3.00126390713419
Gigantopelta_aegis_0	Gigantopelta_aegis	3.38970476213173	0.334738408340935	0.0987514936641336	Mollusca	Other Invertebrates	-6.21806070643666
Glossina_fuscipes_0	Glossina_fuscipes	2.87807312502337	0.283193184460187	0.0983967995802358	Diptera	Lepido Diptera	-7.9262300927941
Gopherus_evgoodei_0	Gopherus_evgoodei	0.182307678929233	0.0250666967721853	0.137496659051402	Testudines	Other Vertebrates	-14.2145681149369
Gorilla_gorilla_0	Gorilla_gorilla	0.0425120630268713	0.00556258722834764	0.130847266217864	Mammalia	Mammalia	-5.90255620849679
Grammomys_surdaster_0	Grammomys_surdaster	0.145758333130549	0.0164923312656416	0.113148462330934	Mammalia	Mammalia	-2.89648686598316
Gymnodraco_acuticeps_0	Gymnodraco_acuticeps	0.028503991349152	0.00913791388662746	0.320583660537046	Teleostei	Teleostei	-1.35893199487865
Gymnogyps_californianus_0	Gymnogyps_californianus	0.132899297428301	0.0134302428258826	0.101055784987338	Aves	Aves	-1.0276230930943
Habropoda_laboriosa_0	Habropoda_laboriosa	0.852915944038995	0.11916155422868	0.139710782828597	Hymenoptera	Hymenoptera	-0.894628401468341
Halichoerus_grypus_0	Halichoerus_grypus	0.0342922305091889	0.0063871316487799	0.186255940600551	Mammalia	Mammalia	-4.52601242631135
Haliotis_rufescens_0	Haliotis_rufescens	3.00890677012775	0.311208481584545	0.103429087492575	Mollusca	Other Invertebrates	2.46246043637961
Halyomorpha_halys_0	Halyomorpha_halys	3.92830504933415	0.391513253609346	0.0996646769261739	Hemiptera	Other Insecta	-6.49520017647933
Harpegnathos_saltator_0	Harpegnathos_saltator	0.782823590641354	0.0924929390359504	0.118152978706445	Hymenoptera	Hymenoptera	-11.5886493341715
Hermetia_illucens_0	Hermetia_illucens	3.45856808989493	0.334520982384305	0.0967223931087813	Diptera	Lepido Diptera	0.820947826077949
