species	clade	NCBI.txid	clade_group	expression_data	dnds_data	lht_data	assembly_accession	nb_rnaseq
Trichogramma_brassicae	Hymenoptera	86971	Hymenoptera	FALSE	FALSE	FALSE	GCA_902806795.1	0
Teleogryllus_occipitalis	Invertebrates	470939	Other Insecta	FALSE	FALSE	FALSE	GCA_011170035.1	0
Drosophila_gunungcola	Diptera	103775	Lepido Diptera	TRUE	FALSE	FALSE	GCF_025200985.1	5
Phyllotreta_striolata	Coleoptera	444603	Other Insecta	TRUE	FALSE	FALSE	GCA_918026865.1	6
Polistes_fuscatus	Hymenoptera	30207	Hymenoptera	FALSE	FALSE	TRUE	GCF_010416935.1	0
Myxobolus_squamalis	Cnidaria	59785	Other Invertebrates	FALSE	FALSE	FALSE	GCA_010108815.1	0
Eudyptes_chrysolophus	Aves	79627	Aves	FALSE	FALSE	TRUE	GCA_010084205.1	0
Colias_croceus	Lepidoptera	72248	Lepido Diptera	TRUE	FALSE	FALSE	GCF_905220415.1	31
Henneguya_salminicola	Cnidaria	69463	Other Invertebrates	FALSE	FALSE	FALSE	GCA_009887335.1	0
Sparganum_proliferum	Platyhelminthes	64606	Other Invertebrates	FALSE	FALSE	FALSE	GCA_902702955.1	0
Sciurus_carolinensis	Mammalia	30640	Mammalia	FALSE	FALSE	TRUE	GCF_902686445.1	0
Maniola_jurtina	Lepidoptera	191418	Lepido Diptera	TRUE	FALSE	FALSE	GCF_905333055.1	27
Armadillidium_nasatum	Crustacea	96803	Other Invertebrates	FALSE	FALSE	FALSE	GCA_009176605.1	0
Thalassophryne_amazonica	Teleostei	390379	Teleostei	FALSE	FALSE	TRUE	GCF_902500255.1	0
Cinara_cedri	Hemiptera	506608	Other Insecta	FALSE	FALSE	FALSE	GCA_902439185.1	0
Phocoena_sinus	Mammalia	42100	Mammalia	FALSE	FALSE	TRUE	GCF_008692025.1	0
Octopus_sinensis	Mollusca	2607531	Other Invertebrates	TRUE	FALSE	FALSE	GCF_006345805.1	2
Drosophila_bunnanda	Diptera	244254	Lepido Diptera	FALSE	FALSE	FALSE	GCA_021223745.1	0
Danionella_translucida	Teleostei	623744	Teleostei	TRUE	FALSE	TRUE	GCA_007224835.1	3
Timema_podura	Invertebrates	61482	Other Insecta	FALSE	FALSE	FALSE	GCA_905359515.1	0
Sphaeramia_orbicularis	Teleostei	375764	Teleostei	FALSE	FALSE	TRUE	GCF_902148855.1	0
Myripristis_murdjan	Teleostei	586833	Teleostei	FALSE	FALSE	TRUE	GCF_902150065.1	0
Rhyzopertha_dominica	Coleoptera	92692	Other Insecta	FALSE	FALSE	FALSE	GCA_025024175.1	0
Liparis_tanakae	Teleostei	230148	Teleostei	FALSE	FALSE	TRUE	GCA_006348945.1	0
Etheostoma_spectabile	Teleostei	54343	Teleostei	FALSE	FALSE	TRUE	GCF_008692095.1	0
Rana_temporaria	Amphibia	8407	Other Vertebrates	FALSE	FALSE	TRUE	GCF_905171775.1	0
Crotalus_adamanteus	Lepidosauria	8729	Other Vertebrates	TRUE	FALSE	TRUE	GCA_018446365.1	29
Rhagologus_leucostigma	Aves	156170	Aves	FALSE	FALSE	TRUE	GCA_013397725.1	0
Trinorchestia_longiramus	Crustacea	1923959	Other Invertebrates	FALSE	FALSE	FALSE	GCA_006783055.1	0
Paragonimus_heterotremus	Platyhelminthes	100268	Other Invertebrates	TRUE	FALSE	FALSE	GCA_013368495.1	4
Neodiprion_pinetum	Hymenoptera	441929	Hymenoptera	FALSE	FALSE	FALSE	GCF_021155775.1	0
Tuta_absoluta	Lepidoptera	702717	Lepido Diptera	FALSE	FALSE	FALSE	GCA_027580185.1	0
Temnothorax_longispinosus	Hymenoptera	300112	Hymenoptera	FALSE	FALSE	FALSE	GCA_004794745.1	0
Drosophila_innubila	Diptera	198719	Lepido Diptera	TRUE	FALSE	FALSE	GCF_004354385.1	50
Schistosoma_bovis	Platyhelminthes	6184	Other Invertebrates	FALSE	FALSE	FALSE	GCA_944470425.1	0
