species	clade	NCBI.taxid	clade_dnds
Vireo_altiloquus	Aves	34956	Aves
Cephalopterus_ornatus	Aves	114276	Aves
Glaucidium_brasilianum	Aves	78217	Aves
Circaetus_pectoralis	Aves	321084	Aves
Sylvietta_virens	Aves	208069	Aves
Herpetotheres_cachinnans	Aves	56343	Aves
Piprites_chloris	Aves	114369	Aves
Spizaetus_tyrannus	Aves	252798	Aves
Nothocercus_julius	Aves	2585813	Aves
Copsychus_sechellarum	Aves	797021	Aves
Brachypodius_atriceps	Aves	182895	Aves
Aphelocoma_coerulescens	Aves	39617	Aves
Nothoprocta_ornata	Aves	83376	Aves
Onychorhynchus_coronatus	Aves	360224	Aves
Centropus_unirufus	Aves	1118519	Aves
Halcyon_senegalensis	Aves	342381	Aves
Mionectes_macconnelli	Aves	254557	Aves
Crotophaga_sulcirostris	Aves	33598	Aves
Tachuris_rubrigastra	Aves	495162	Aves
Lophotis_ruficrista	Aves	172689	Aves
Chunga_burmeisteri	Aves	1352770	Aves
Cochlearius_cochlearius	Aves	110676	Aves
Chloropsis_hardwickii	Aves	667144	Aves
Pitta_sordida	Aves	9163	Aves
Calyptomena_viridis	Aves	135972	Aves
Dryoscopus_gambensis	Aves	85069	Aves
Sula_dactylatra	Aves	56068	Aves
Piaya_cayana	Aves	33601	Aves
Crypturellus_soui	Aves	458187	Aves
Crypturellus_undulatus	Aves	48396	Aves
Danio_aesculapii	Teleostei	1142201	Teleostei
Etheostoma_cragini	Teleostei	417921	Teleostei
Alaudala_cheleensis	Aves	670337	Aves
Pogonophryne_albipinna	Teleostei	1090488	Teleostei
Eudyptes_sclateri	Aves	92688	Aves
Eudyptes_moseleyi	Aves	2495534	Aves
Eudyptula_albosignata	Aves	345258	Aves
Eudyptes_schlegeli	Aves	57240	Aves
Eudyptula_novaehollandiae	Aves	2052820	Aves
Lontra_canadensis	Mammalia	76717	Mammalia
Caenorhabditis_bovis	Nematoda	2654633	Nematoda
Corvus_moneduloides	Aves	1196302	Aves
Spea_bombifrons	Amphibia	233779	Other Vertebrates
Eolophus_roseicapilla	Aves	176039	Aves
Atlantisia_rogersi	Aves	2478892	Aves
Dunckerocampus_dactyliophorus	Teleostei	161453	Teleostei
Indicator_maculatus	Aves	545262	Aves
Syngnathus_acus	Teleostei	161584	Teleostei
Neopelma_chrysocephalum	Aves	114329	Aves
Corapipo_altera	Aves	415028	Aves
Dinothrombium_tinctorium	Arachnida	1965070	Other Invertebrates
Athene_cunicularia	Aves	194338	Aves
Empidonax_traillii	Aves	164674	Aves
Ameiurus_melas	Teleostei	219545	Teleostei
Coryphaenoides_rupestris	Teleostei	163118	Teleostei
Eupeodes_corollae	Diptera	290404	Mecopterida
Spheniscus_magellanicus	Aves	37081	Aves
Prunella_fulvescens	Aves	670355	Aves
Acanthoscelides_obtectus	Coleoptera	200917	Other Insecta
Dryococelus_australis	Invertebrates	614101	Other Insecta
Psammomys_obesus	Mammalia	48139	Mammalia
Macrosteles_quadrilineatus	Hemiptera	74068	Other Insecta
Euroglyphus_maynei	Arachnida	6958	Other Invertebrates
Emberiza_fucata	Aves	337179	Aves
Eublepharis_macularius	Lepidosauria	481883	Other Vertebrates
Caloenas_nicobarica	Aves	187106	Aves
Rhagoletis_zephyria	Diptera	28612	Mecopterida
Falco_naumanni	Aves	148594	Aves
Pomatorhinus_ruficollis	Aves	932028	Aves
Callipepla_squamata	Aves	9009	Aves
Notiomystis_cincta	Aves	366454	Aves
Enteromyxum_leei	Cnidaria	188704	Other Invertebrates
Puma_yagouaroundi	Mammalia	1608482	Mammalia
Cyprinodon_tularosa	Teleostei	77115	Teleostei
Plodia_interpunctella	Lepidoptera	58824	Mecopterida
Clarias_gariepinus	Teleostei	13013	Teleostei
Oreotrochilus_melanogaster	Aves	689266	Aves
Oopsacas_minuta	Invertebrates	111878	Other Invertebrates
Asbolus_verrucosus	Coleoptera	1661398	Other Insecta
Cygnus_olor	Aves	8869	Aves
Corvus_hawaiiensis	Aves	134902	Aves
Mandrillus_leucophaeus	Mammalia	9568	Mammalia
Schistosoma_mattheei	Platyhelminthes	31246	Other Invertebrates
Schistosoma_curassoni	Platyhelminthes	6186	Other Invertebrates
Soboliphyme_baturini	Nematoda	241478	Nematoda
Haemonchus_placei	Nematoda	6290	Nematoda
Rodentolepis_nana	Platyhelminthes	102285	Other Invertebrates
Gongylonema_pulchrum	Nematoda	637853	Nematoda
Brugia_timori	Nematoda	42155	Nematoda
Echinostoma_caproni	Platyhelminthes	27848	Other Invertebrates
Protopolystoma_xenopodis	Platyhelminthes	117903	Other Invertebrates
Nanorana_parkeri	Amphibia	125878	Other Vertebrates
Phrynocephalus_forsythii	Lepidosauria	171643	Other Vertebrates
Mustela_erminea	Mammalia	36723	Mammalia
Chlamydotis_macqueenii	Aves	187382	Aves
Dicrocoelium_dendriticum	Platyhelminthes	57078	Other Invertebrates
Parnassius_apollo	Lepidoptera	110799	Mecopterida
Danaus_chrysippus	Lepidoptera	151541	Mecopterida
Argiope_bruennichi	Arachnida	94029	Other Invertebrates
Synchiropus_splendidus	Teleostei	270530	Teleostei
Chaetura_pelagica	Aves	8897	Aves
Nestor_notabilis	Aves	176057	Aves
Haliaeetus_leucocephalus	Aves	52644	Aves
Tinamus_guttatus	Aves	94827	Aves
Tauraco_erythrolophus	Aves	121530	Aves
Apaloderma_vittatum	Aves	57397	Aves
Charadrius_vociferus	Aves	50402	Aves
Antrostomus_carolinensis	Aves	279965	Aves
Pterocles_gutturalis	Aves	240206	Aves
Corvus_brachyrhynchos	Aves	85066	Aves
Mesitornis_unicolor	Aves	54374	Aves
Acanthisitta_chloris	Aves	57068	Aves
Merops_nubicus	Aves	57421	Aves
Haliaeetus_albicilla	Aves	8969	Aves
Fulmarus_glacialis	Aves	30455	Aves
Colius_striatus	Aves	57412	Aves
Pelecanus_crispus	Aves	36300	Aves
Jacana_jacana	Aves	54508	Aves
Equus_przewalskii	Mammalia	9798	Mammalia
Pontoporia_blainvillei	Mammalia	48723	Mammalia
Mythimna_separata	Lepidoptera	271217	Mecopterida
Spheniscus_demersus	Aves	92683	Aves
Sitodiplosis_mosellana	Diptera	263140	Mecopterida
